cod_cluster,lon,lat,S1,S2,S3,S4,time_min,COD_NVO
114303_0,-70.57498017587939,-33.528506507537664,161.0,28.0,0.0,0.0,12.62319932998326,114303
114303_1,-70.60432983999999,-33.52199327999999,85.0,15.0,0.0,0.0,5.127466666666668,114303
114303_2,-70.5693,-33.5344,27.0,5.0,0.0,0.0,16.783333333333335,114303
114303_3,-70.56380272727267,-33.53797683501687,385.0,73.0,1.0,1.0,17.047699214365895,114303
114831_0,-70.5984915384615,-33.513943974358966,33.0,6.0,1.0,1.0,6.139529914529914,114831
114831_1,-70.5803699009901,-33.5186897029703,135.0,26.0,0.0,0.0,7.4432343234323435,114831
114831_2,-70.58882261904758,-33.51804702380954,40.0,7.0,0.0,0.0,4.232341269841271,114831
114831_3,-70.58783909090909,-33.51663818181818,193.0,37.0,0.0,0.0,4.689393939393939,114831
114802_0,-70.55219000000004,-33.517814571428566,71.0,13.0,0.0,0.0,8.513015873015872,114802
114802_1,-70.57214120418845,-33.51488785340314,102.0,18.0,0.0,0.0,3.6771378708551468,114802
114802_2,-70.5422818181818,-33.533779090909086,14.0,2.0,0.0,0.0,14.30606060606061,114802
114802_3,-70.56476500000001,-33.51585875,80.0,16.0,0.0,0.0,5.327083333333333,114802
114824_0,-70.5966147852761,-33.54477631901839,133.0,24.0,1.0,1.0,2.9706543967280163,114824
114824_1,-70.57850985185186,-33.54499785185186,187.0,34.0,0.0,0.0,5.279753086419754,114824
114824_2,-70.59656172131149,-33.55507401639345,99.0,18.0,0.0,0.0,6.906010928961747,114824
114824_3,-70.59937499999997,-33.540915000000005,56.0,11.0,0.0,0.0,3.3916666666666666,114824
200144_0,-70.58246666666666,-33.556899047619055,35.0,6.0,0.0,0.0,2.3345238095238097,200144
200144_1,-70.58122245614032,-33.552228771929826,66.0,12.0,0.0,0.0,4.058187134502924,200144
200144_2,-70.57507166666669,-33.55435833333333,65.0,12.0,0.0,0.0,4.211111111111111,200144
200144_3,-70.5687278787879,-33.55492171717172,87.0,16.0,0.0,0.0,5.754040404040404,200144
114816_0,-70.58855636363634,-33.56759727272727,20.0,4.0,0.0,0.0,5.56590909090909,114816
114816_1,-70.56507034482757,-33.559161379310346,15.0,3.0,0.0,0.0,4.949999999999999,114816
114816_2,-70.59279000000001,-33.56207466666666,31.0,6.0,0.0,0.0,5.6244444444444435,114816
114816_3,-70.57019500000001,-33.561475,48.0,8.0,0.0,0.0,5.425,114816
114816_4,-70.57747220000002,-33.5614014,34.0,6.0,0.0,0.0,2.614666666666667,114816
114805_0,-70.59521357142859,-33.56624952380953,29.0,5.0,1.0,1.0,5.128968253968255,114805
114805_1,-70.60574065040652,-33.55976585365854,222.0,42.0,0.0,0.0,1.8913279132791327,114805
114805_2,-70.61043803921567,-33.56562980392156,71.0,13.0,0.0,0.0,4.136601307189541,114805
114805_3,-70.60336666666667,-33.563750000000006,87.0,17.0,0.0,0.0,2.766666666666667,114805
114805_4,-70.60705779069768,-33.55583686046511,104.0,19.0,0.0,0.0,3.260852713178296,114805
200051_0,-70.60692085106382,-33.53943659574468,11.0,2.0,0.0,0.0,3.4613475177304975,200051
200051_1,-70.60651146341462,-33.54853402439025,40.0,7.0,0.0,0.0,2.0810975609756106,200051
200051_2,-70.61053962962963,-33.55201333333332,42.0,8.0,0.0,0.0,3.4,200051
200051_3,-70.60427000000001,-33.538450000000005,20.0,4.0,0.0,0.0,4.416666666666667,200051
